week_ending,month,week_of_month,week_of_year,store,concept,sales,group_meal,guest_count
8/20/2017,Aug,3,33,MF4,Mighty Fine,61464,0,6597
8/20/2017,Aug,3,33,MFT1,Mighty Fine,0,0,0
8/20/2017,Aug,3,33,MFT2,Mighty Fine,18998,0,1926
8/20/2017,Aug,3,33,Lamar,Rudys,0,0,0
8/20/2017,Aug,3,33,620,Rudys,126630,16150.34,5831
8/20/2017,Aug,3,33,Round Rock,Rudys,218070,33295.97,9831
8/20/2017,Aug,3,33,360,Rudys,202173,37084.93,8793
8/20/2017,Aug,3,33,183,Rudys,224289,38406.71,10267
8/27/2017,Aug,4,34,MF1,Mighty Fine,48392,0,5028
8/27/2017,Aug,4,34,MF2,Mighty Fine,40612,0,4281
8/27/2017,Aug,4,34,MF3,Mighty Fine,43377,0,4573
8/27/2017,Aug,4,34,MF4,Mighty Fine,54624,0,5797
8/27/2017,Aug,4,34,MFT1,Mighty Fine,0,0,0
8/27/2017,Aug,4,34,MFT2,Mighty Fine,5579,0,1556
8/27/2017,Aug,4,34,Lamar,Rudys,0,0,0
8/27/2017,Aug,4,34,620,Rudys,124040,16906.69,5686
8/27/2017,Aug,4,34,Round Rock,Rudys,194392,34034.2,8619
8/27/2017,Aug,4,34,360,Rudys,173285,34783.19,7428
8/27/2017,Aug,4,34,183,Rudys,215749,41099.97,9877
9/3/2017,Sep,1,35,MF1,Mighty Fine,54846,0,5701
9/3/2017,Sep,1,35,MF2,Mighty Fine,50646,0,5297
9/3/2017,Sep,1,35,MF3,Mighty Fine,54996,0,5861
9/3/2017,Sep,1,35,MF4,Mighty Fine,57675,0,6182
9/3/2017,Sep,1,35,MFT1,Mighty Fine,158,0,93
9/3/2017,Sep,1,35,MFT2,Mighty Fine,19448,0,1985
9/3/2017,Sep,1,35,Lamar,Rudys,0,0,0
9/3/2017,Sep,1,35,620,Rudys,142533,24717.76,6292
9/3/2017,Sep,1,35,Round Rock,Rudys,220848,27658.11,10362
9/3/2017,Sep,1,35,360,Rudys,217981,46237.58,8996
9/3/2017,Sep,1,35,183,Rudys,253519,55414.73,10934
9/10/2017,Sep,2,36,MF1,Mighty Fine,54250,0,5564
9/10/2017,Sep,2,36,MF2,Mighty Fine,54248,0,5658
9/10/2017,Sep,2,36,MF3,Mighty Fine,51542,0,5436
9/10/2017,Sep,2,36,MF4,Mighty Fine,57051,0,6097
9/10/2017,Sep,2,36,MFT1,Mighty Fine,0,0,0
9/10/2017,Sep,2,36,MFT2,Mighty Fine,19358,0,1996
9/10/2017,Sep,2,36,Lamar,Rudys,0,0,0
9/10/2017,Sep,2,36,620,Rudys,132753,15364.12,6322
9/10/2017,Sep,2,36,Round Rock,Rudys,227892,26567.95,10792
9/10/2017,Sep,2,36,360,Rudys,220078,40090.64,9660
9/10/2017,Sep,2,36,183,Rudys,243619,48241.35,10730
9/17/2017,Sep,3,37,MF1,Mighty Fine,55213,0,5658
9/17/2017,Sep,3,37,MF2,Mighty Fine,49563,0,5159
9/17/2017,Sep,3,37,MF3,Mighty Fine,46940,0,4933
9/17/2017,Sep,3,37,MF4,Mighty Fine,53461,0,5672
9/17/2017,Sep,3,37,MFT1,Mighty Fine,2136,0,206
9/17/2017,Sep,3,37,MFT2,Mighty Fine,19106,0,1951
9/17/2017,Sep,3,37,Lamar,Rudys,0,0,0
9/17/2017,Sep,3,37,620,Rudys,122768,16572.44,5661
9/17/2017,Sep,3,37,360,Rudys,190842,29864.63,8491
